"Dates","Category","Descript","DayOfWeek","PdDistrict","Resolution","Address","X","Y"
"2010-09-12 21:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","NORTHERN","NONE","500 Block of FULTON ST",-122.425839480353,37.7784863750012
"2010-09-12 20:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","INGLESIDE","NONE","0 Block of BRAZIL AV",-122.434372913728,37.7245429968672
"2010-09-12 18:47:00","WARRANTS","WARRANT ARREST","Sunday","CENTRAL","ARREST, BOOKED","300 Block of POWELL ST",-122.408384275542,37.7878271137225
"2010-09-12 16:15:00","WARRANTS","WARRANT ARREST","Sunday","SOUTHERN","ARREST, BOOKED","100 Block of 4TH ST",-122.4039407276,37.7843007072344
"2010-09-12 15:54:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Sunday","CENTRAL","NONE","0 Block of DRUMM ST",-122.396421943768,37.7941447423704
"2010-09-12 15:25:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Sunday","TENDERLOIN","ARREST, BOOKED","100 Block of HYDE ST",-122.415669661443,37.7821198488931
"2010-09-12 15:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","BAYVIEW","NONE","1500 Block of UNDERWOOD AV",-122.390974895187,37.7292223935399
"2010-09-12 14:55:00","WARRANTS","ENROUTE TO ADULT AUTHORITY","Sunday","TENDERLOIN","ARREST, BOOKED","0 Block of GOLDEN GATE AV",-122.41126513685,37.7821392681522
"2010-09-12 12:00:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS WITH BB GUN","Sunday","RICHMOND","NONE","6500 Block of FULTON ST",-122.501877921139,37.7718172866494
"2010-09-12 12:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","BAYVIEW","NONE","300 Block of HAMILTON ST",-122.409704155621,37.7266895207959
"2010-09-12 11:29:00","WARRANTS","WARRANT ARREST","Sunday","SOUTHERN","ARREST, BOOKED","13TH ST / SOUTH VAN NESS AV",-122.417756708592,37.7698142360087
"2010-09-12 10:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","SOUTHERN","NONE","0 Block of NATOMA ST",-122.397662188962,37.7880260064614
"2010-09-12 09:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","INGLESIDE","NONE","100 Block of 27TH ST",-122.423553570893,37.7470465670768
"2010-09-12 03:16:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Sunday","MISSION","ARREST, BOOKED","500 Block of SHOTWELL ST",-122.415921585459,37.7596123168685
"2010-09-12 00:30:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Sunday","BAYVIEW","NONE","1700 Block of 20TH ST",-122.398713111114,37.7599339447607
"2010-09-11 22:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","SOUTHERN","NONE","0 Block of CLEMENTINA ST",-122.396069350014,37.786804233528
"2010-09-11 21:30:00","WARRANTS","WARRANT ARREST","Saturday","CENTRAL","ARREST, BOOKED","400 Block of POST ST",-122.409256096494,37.788239899778
"2010-09-11 20:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","CENTRAL","NONE","1400 Block of WASHINGTON ST",-122.417140413807,37.7938401779438
"2010-09-11 17:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","MISSION","NONE","500 Block of SOUTH VAN NESS AV",-122.41747701285,37.764357751686
"2010-09-11 15:00:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Saturday","BAYVIEW","NONE","0 Block of HARBOR RD",-122.378392257534,37.7323312464378
"2010-09-11 15:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","BAYVIEW","NONE","20TH ST / RHODEISLAND ST",-122.402080893462,37.7596766619933
"2010-09-11 10:00:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Saturday","BAYVIEW","NONE","0 Block of NORTHRIDGE RD",-122.375605171962,37.7307215215703
"2010-09-11 02:19:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","CENTRAL","NONE","500 Block of BROADWAY ST",-122.405863212632,37.7980228452184
"2010-09-10 23:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","BAYVIEW","NONE","600 Block of RHODEISLAND ST",-122.402194894626,37.7615819379314
"2010-09-10 22:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","SOUTHERN","NONE","800 Block of BRYANT ST",-122.403404791479,37.775420706711
"2010-09-10 21:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","MISSION","NONE","2600 Block of 18TH ST",-122.408686198578,37.7619007350286
"2010-09-10 19:31:00","WARRANTS","WARRANT ARREST","Friday","BAYVIEW","ARREST, BOOKED","MCKINNON AV / NEWHALL ST",-122.391090325597,37.7369085657287
"2010-09-10 17:25:00","WARRANTS","WARRANT ARREST","Friday","SOUTHERN","ARREST, BOOKED","700 Block of MARKET ST",-122.405359371753,37.7859774761625
"2010-09-10 17:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","MISSION","NONE","2800 Block of MISSION ST",-122.418434028318,37.7514199300011
"2010-09-10 16:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","INGLESIDE","NONE","300 Block of PRECITA AV",-122.41246383674,37.7472920540286
"2010-09-10 15:15:00","WARRANTS","WARRANT ARREST","Friday","MISSION","NONE","2000 Block of MARKET ST",-122.426955631709,37.769247063207
"2010-09-10 14:56:00","WARRANTS","WARRANT ARREST","Friday","INGLESIDE","ARREST, BOOKED","100 Block of TUCKER AV",-122.406955614145,37.7162766822917
"2010-09-10 14:40:00","WARRANTS","WARRANT ARREST","Friday","TENDERLOIN","ARREST, BOOKED","0 Block of POWELL ST",-122.407845374111,37.7850943210103
"2010-09-10 14:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","INGLESIDE","NONE","1400 Block of SOMERSET ST",-122.402419910628,37.7141098299563
"2010-09-10 13:10:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","RICHMOND","JUVENILE CITED","32ND AV / GEARY BL",-122.492232743984,37.7797454324369
"2010-09-10 11:00:00","BRIBERY","DISSUADING WITNESS, VICTIM","Friday","MISSION","ARREST, BOOKED","100 Block of QUANE ST",-122.424674629078,37.7542615677783
"2010-09-10 09:06:00","WARRANTS","WARRANT ARREST","Friday","SOUTHERN","ARREST, BOOKED","6TH ST / JESSIE ST",-122.409247675547,37.7813987340892
"2010-09-10 03:41:00","WARRANTS","ENROUTE TO PAROLE OFFICER","Friday","BAYVIEW","ARREST, BOOKED","1700 Block of NEWCOMB AV",-122.392563426886,37.7368743139473
"2010-09-10 01:35:00","PROSTITUTION","SOLICITS FOR ACT OF PROSTITUTION","Friday","MISSION","JUVENILE BOOKED","600 Block of SHOTWELL ST",-122.41577026404,37.7580118295123
"2010-09-09 22:30:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Thursday","BAYVIEW","NONE","0 Block of KISKA RD",-122.378573984591,37.7303199602104
"2010-09-09 22:30:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Thursday","MISSION","ARREST, BOOKED","600 Block of SHOTWELL ST",-122.41577026404,37.7580118295123
"2010-09-09 22:00:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Thursday","MISSION","ARREST, CITED","17TH ST / CAPP ST",-122.418486296575,37.7634954373144
"2010-09-09 17:00:00","WARRANTS","WARRANT ARREST","Thursday","MISSION","ARREST, BOOKED","17TH ST / CAPP ST",-122.418486296575,37.7634954373144
"2010-09-09 15:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","MISSION","NONE","700 Block of CHURCH ST",-122.42823159163,37.7592690036548
"2010-09-09 12:57:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Thursday","INGLESIDE","ARREST, BOOKED","100 Block of SEARS ST",-122.454609827767,37.7091959564267
"2010-09-09 12:25:00","WARRANTS","WARRANT ARREST","Thursday","TENDERLOIN","ARREST, BOOKED","0 Block of MASON ST",-122.409129633669,37.7838066631424
"2010-09-09 11:44:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Thursday","BAYVIEW","ARREST, BOOKED","4900 Block of 3RD ST",-122.391243431227,37.7336342023099
"2010-09-09 09:34:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Thursday","MISSION","ARREST, BOOKED","100 Block of ALBION ST",-122.422805752252,37.7636369573177
"2010-09-09 04:22:00","WARRANTS","WARRANT ARREST","Thursday","BAYVIEW","ARREST, BOOKED","BAY SHORE BL / INDUSTRIAL ST",-122.406910767793,37.7379666158769
"2010-09-09 00:41:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Thursday","BAYVIEW","ARREST, BOOKED","0 Block of SCOTIA AV",-122.401427923842,37.7336457993937
"2010-09-08 23:50:00","VANDALISM","VANDALISM OR GRAFFITI TOOLS, POSSESSION","Wednesday","PARK","ARREST, BOOKED","1400 Block of HAIGHT ST",-122.446165617978,37.7701611813393
"2010-09-08 23:50:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Wednesday","MISSION","ARREST, CITED","17TH ST / SOUTH VAN NESS AV",-122.41733258259,37.7635718955893
"2010-09-08 23:47:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Wednesday","MISSION","ARREST, BOOKED","500 Block of SHOTWELL ST",-122.415921585459,37.7596123168685
"2010-09-08 23:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","NORTHERN","NONE","TURK ST / VANNESS AV",-122.420641893733,37.7819608221838
"2010-09-08 21:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","TARAVAL","NONE","100 Block of JULES AV",-122.461169042517,37.7209422170754
"2010-09-08 20:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","TARAVAL","NONE","100 Block of JULES AV",-122.461169042517,37.7209422170754
"2010-09-08 20:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","TARAVAL","NONE","100 Block of JULES AV",-122.461169042517,37.7209422170754
"2010-09-08 19:15:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","TARAVAL","NONE","100 Block of JULES AV",-122.461169042517,37.7209422170754
"2010-09-08 18:33:00","WARRANTS","WARRANT ARREST","Wednesday","BAYVIEW","ARREST, BOOKED","1700 Block of 17TH ST",-122.401130668017,37.7649225833006
"2010-09-08 18:25:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Wednesday","TENDERLOIN","ARREST, BOOKED","GOLDEN GATE AV / LEAVENWORTH ST",-122.413869632554,37.7818621883021
"2010-09-08 17:50:00","WARRANTS","WARRANT ARREST","Wednesday","CENTRAL","ARREST, BOOKED","COLUMBUS AV / VALLEJO ST",-122.407871572784,37.7986962742997
"2010-09-08 14:32:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Wednesday","BAYVIEW","ARREST, BOOKED","SHAFTER AV / INGALLS ST",-122.385122491627,37.7278597168875
"2010-09-08 13:16:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Wednesday","SOUTHERN","ARREST, BOOKED","100 Block of 6TH ST",-122.407877117352,37.7803875013555
"2010-09-08 11:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","RICHMOND","NONE","300 Block of 22ND AV",-122.481655507117,37.7811713206417
"2010-09-08 09:10:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Wednesday","SOUTHERN","ARREST, BOOKED","0 Block of 7TH ST",-122.411468903052,37.7795579712601
"2010-09-08 00:51:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","NORTHERN","ARREST, CITED","100 Block of OLIVE ST",-122.42026193778,37.7844541271135
"2010-09-07 23:20:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Tuesday","NORTHERN","ARREST, BOOKED","POLK ST / PINE ST",-122.42049728879,37.789618819255
"2010-09-07 23:10:00","PROSTITUTION","SOLICITS FOR ACT OF PROSTITUTION","Tuesday","NORTHERN","ARREST, CITED","CALIFORNIA ST / POLK ST",-122.420691680792,37.7905770710537
"2010-09-07 19:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Tuesday","RICHMOND","NONE","SACRAMENTO ST / MAPLE ST",-122.455239493762,37.7871359550525
"2010-09-07 18:44:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Tuesday","BAYVIEW","ARREST, BOOKED","BAY SHORE BL / OAKDALE AV",-122.405242467114,37.7430506903112
"2010-09-07 18:30:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Tuesday","MISSION","ARREST, CITED","17TH ST / CAPP ST",-122.418486296575,37.7634954373144
"2010-09-07 08:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Tuesday","MISSION","NONE","700 Block of DOUGLASS ST",-122.438442438534,37.7514199188116
"2010-09-06 23:15:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Monday","RICHMOND","NONE","800 Block of LA PLAYA ST",-122.509895418239,37.7723131976814
"2010-09-06 21:45:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Monday","SOUTHERN","NONE","1400 Block of HARRISON ST",-122.411939261411,37.7711341126595
"2010-09-06 21:10:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Monday","INGLESIDE","ARREST, BOOKED","200 Block of CORTLAND AV",-122.419611400699,37.7397764883466
"2010-09-06 18:15:00","WARRANTS","WARRANT ARREST","Monday","TARAVAL","ARREST, BOOKED","1200 Block of FUNSTON AV",-122.470728986084,37.7647728467304
"2010-09-06 17:04:00","WARRANTS","WARRANT ARREST","Monday","TENDERLOIN","ARREST, BOOKED","300 Block of LEAVENWORTH ST",-122.414269361877,37.7842081124308
"2010-09-06 15:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Monday","CENTRAL","NONE","400 Block of POWELL ST",-122.408568445228,37.7887594214703
"2010-09-06 07:37:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Monday","SOUTHERN","ARREST, BOOKED","6TH ST / HARRISON ST",-122.404071611406,37.7772741854354
"2010-09-06 02:30:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Monday","NORTHERN","ARREST, BOOKED","GOLDEN GATE AV / VANNESS AV",-122.420439512717,37.7810308461783
"2010-09-06 00:01:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Monday","NORTHERN","ARREST, CITED","VANNESS AV / ELLIS ST",-122.421011927709,37.7838226942199
"2010-08-29 22:42:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Sunday","MISSION","ARREST, BOOKED","400 Block of VALENCIA ST",-122.421994366464,37.765314854109
"2010-08-29 22:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","MISSION","NONE","100 Block of DOLORES ST",-122.426732392551,37.7666629415025
"2010-08-29 20:25:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","PARK","ARREST, CITED","1400 Block of HAIGHT ST",-122.446143672039,37.7700527182372
"2010-08-29 19:04:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Sunday","BAYVIEW","ARREST, CITED","1100 Block of PALOU AV",-122.382475491131,37.7292626391341
"2010-08-29 19:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Sunday","CENTRAL","NONE","500 Block of SANSOME ST",-122.401469604468,37.7950962606048
"2010-08-29 17:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Sunday","TARAVAL","NONE","2200 Block of 24TH AV",-122.481313644934,37.7455913763295
"2010-08-29 15:30:00","WARRANTS","WARRANT ARREST","Sunday","BAYVIEW","ARREST, BOOKED","0 Block of CAMERON WY",-122.385879189053,37.7202869779119
"2010-08-29 15:25:00","WARRANTS","WARRANT ARREST","Sunday","SOUTHERN","ARREST, BOOKED","100 Block of 6TH ST",-122.407376463936,37.7799892619986
"2010-08-29 12:43:00","WARRANTS","WARRANT ARREST","Sunday","BAYVIEW","NONE","HAWES ST / REVERE AV",-122.382690587869,37.727426135786
"2010-08-29 07:30:00","WARRANTS","WARRANT ARREST","Sunday","INGLESIDE","ARREST, BOOKED","100 Block of VELASCO AV",-122.41329801378,37.7083038138668
"2010-08-29 07:30:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Sunday","MISSION","ARREST, BOOKED","200 Block of CAPP ST",-122.418415888321,37.7626869631943
"2010-08-29 02:47:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Sunday","RICHMOND","ARREST, CITED","4600 Block of GEARY BL",-122.46909677255,37.7806744413446
"2010-08-29 02:05:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Sunday","NORTHERN","ARREST, CITED","CALIFORNIA ST / VANNESS AV",-122.422330464198,37.790369068882
"2010-08-29 01:25:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Sunday","NORTHERN","ARREST, CITED","VANNESS AV / CALIFORNIA ST",-122.422330464198,37.790369068882
"2010-08-28 23:25:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Saturday","CENTRAL","ARREST, CITED","CALIFORNIA ST / HYDE ST",-122.417392830334,37.7909741243591
"2010-08-28 23:25:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Saturday","RICHMOND","EXCEPTIONAL CLEARANCE","700 Block of 16TH AV",-122.474686297304,37.7739228047017
"2010-08-28 23:08:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Saturday","BAYVIEW","ARREST, BOOKED","LASALLE AV / NEWHALL ST",-122.390521939554,37.7375439838695
"2010-08-28 21:25:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","SOUTHERN","NONE","800 Block of BRYANT ST",-122.403404791479,37.775420706711
"2010-08-28 19:00:00","VANDALISM","MALICIOUS MISCHIEF, ADULT SUSPECT","Saturday","RICHMOND","NONE","FULTON ST / 32ND AV",-122.491688433083,37.7722252128657
"2010-08-28 18:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","CENTRAL","NONE","THE EMBARCADERONORTH ST / JEFFERSON ST",-122.412527239682,37.8086250595467
"2010-08-28 18:14:00","WARRANTS","WARRANT ARREST","Saturday","MISSION","ARREST, BOOKED","800 Block of VALENCIA ST",-122.421457875126,37.7597178171657
"2010-08-28 14:49:00","WARRANTS","WARRANT ARREST","Saturday","MISSION","ARREST, BOOKED","500 Block of DOLORES ST",-122.426153349478,37.7606186794333
"2010-08-28 11:15:00","WARRANTS","WARRANT ARREST","Saturday","TENDERLOIN","ARREST, BOOKED","0 Block of STOCKTON ST",-122.406351834294,37.7860311576362
"2010-08-28 07:02:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Saturday","NORTHERN","ARREST, BOOKED","1000 Block of POST ST",-122.419126295342,37.7869849580362
"2010-08-28 04:23:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Saturday","NORTHERN","NONE","1500 Block of FILLMORE ST",-122.432743822617,37.7838424505847
"2010-08-28 03:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","MISSION","NONE","HARRISON ST / 24TH ST",-122.41190223263,37.7526284767606
"2010-08-28 00:01:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Saturday","MISSION","NONE","800 Block of YORK ST",-122.408796349216,37.7584522474061
"2010-08-27 21:35:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","MISSION","NONE","VALENCIA ST / 14TH ST",-122.422201579793,37.7681403836513
"2010-08-27 20:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","INGLESIDE","NONE","0 Block of MIGUEL ST",-122.429806447189,37.7390355833599
"2010-08-27 20:25:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Friday","MISSION","NONE","2700 Block of HARRISON ST",-122.412041125438,37.7534100942238
"2010-08-27 19:40:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","TARAVAL","ARREST, BOOKED","200 Block of THRIFT ST",-122.461467578211,37.7174871282718
"2010-08-27 19:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","BAYVIEW","NONE","0 Block of NICHOLS WY",-122.38724435334,37.7195130001474
"2010-08-27 18:28:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","BAYVIEW","ARREST, BOOKED","1300 Block of REVERE AV",-122.385545453301,37.728979731984
"2010-08-27 18:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","BAYVIEW","NONE","700 Block of INNES AV",-122.372926079722,37.7304599610397
"2010-08-27 17:00:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","SOUTHERN","ARREST, BOOKED","800 Block of BRYANT ST",-122.403404791479,37.775420706711
"2010-08-27 16:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Friday","TENDERLOIN","ARREST, CITED","0 Block of POWELL ST",-122.407845374111,37.7850943210103
"2010-08-27 15:05:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","PARK","ARREST, BOOKED","700 Block of STANYAN ST",-122.453376250788,37.7687142722405
"2010-08-27 11:44:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Friday","BAYVIEW","ARREST, BOOKED","CARGO WY / MENDELL ST",-122.38312143046,37.7438842445211
"2010-08-27 10:19:00","VANDALISM","MALICIOUS MISCHIEF, GRAFFITI","Friday","TARAVAL","ARREST, CITED","100 Block of LENOX WY",-122.465616085454,37.7417568103981
"2010-08-27 09:05:00","WARRANTS","WARRANT ARREST","Friday","INGLESIDE","ARREST, BOOKED","1800 Block of SUNNYDALE AV",-122.417144802399,37.7121502932531
"2010-08-26 21:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Thursday","BAYVIEW","NONE","1100 Block of EVANS AV",-122.380141521656,37.7381436048928
"2010-08-26 20:20:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","TARAVAL","NONE","3200 Block of 20TH AV",-122.475647460786,37.7285280627465
"2010-08-26 19:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Thursday","INGLESIDE","NONE","200 Block of BALTIMORE WY",-122.437985362628,37.7087981055096
"2010-08-26 15:18:00","WARRANTS","WARRANT ARREST","Thursday","MISSION","ARREST, BOOKED","2000 Block of MARKET ST",-122.426955631709,37.769247063207
"2010-08-26 14:22:00","WARRANTS","WARRANT ARREST","Thursday","MISSION","ARREST, BOOKED","2000 Block of MISSION ST",-122.41965834371,37.7642205603745
"2010-08-26 13:40:00","VANDALISM","VANDALISM OR GRAFFITI TOOLS, POSSESSION","Thursday","SOUTHERN","ARREST, CITED","1100 Block of MARKET ST",-122.413564091744,37.779514030063
"2010-08-26 13:15:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Thursday","BAYVIEW","NONE","700 Block of BRUSSELS ST",-122.403881908842,37.7228936730541
"2010-08-26 13:04:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Thursday","NORTHERN","ARREST, BOOKED","POLK ST / SUTTER ST",-122.420120319204,37.7877570602411
"2010-08-26 12:13:00","WARRANTS","WARRANT ARREST","Thursday","MISSION","NONE","CHURCH ST / MARKET ST",-122.428950032727,37.7675027326801
"2010-08-26 11:00:00","WARRANTS","WARRANT ARREST","Thursday","SOUTHERN","ARREST, CITED","800 Block of BRYANT ST",-122.403404791479,37.775420706711
"2010-08-26 06:50:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Thursday","INGLESIDE","JUVENILE CITED","200 Block of ROLPH ST",-122.43761850613,37.7139249971979
"2010-08-26 02:27:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Thursday","NORTHERN","ARREST, BOOKED","VANNESS AV / BUSH ST",-122.421949487547,37.7884881521135
"2010-08-26 00:01:00","PROSTITUTION","SOLICITS FOR ACT OF PROSTITUTION","Thursday","MISSION","NONE","900 Block of SOUTH VAN NESS AV",-122.416863555609,37.7579459514924
"2010-08-25 23:05:00","PROSTITUTION","SOLICITS FOR ACT OF PROSTITUTION","Wednesday","NORTHERN","ARREST, CITED","CALIFORNIA ST / LARKIN ST",-122.41903911933,37.7907880214451
"2010-08-25 22:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","BAYVIEW","NONE","1900 Block of 25TH ST",-122.397497373637,37.7523066322263
"2010-08-25 22:00:00","PROSTITUTION","SOLICITS FOR ACT OF PROSTITUTION","Wednesday","MISSION","ARREST, BOOKED","2200 Block of FOLSOM ST",-122.414987729007,37.7612794104989
"2010-08-25 19:18:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","SOUTHERN","NONE","1400 Block of HOWARD ST",-122.414927187814,37.773523978923
"2010-08-25 18:20:00","WARRANTS","WARRANT ARREST","Wednesday","SOUTHERN","ARREST, BOOKED","VANNESS AV / MARKET ST",-122.419257894814,37.7751462916539
"2010-08-25 18:20:00","WARRANTS","ENROUTE TO OUTSIDE JURISDICTION","Wednesday","SOUTHERN","ARREST, BOOKED","VANNESS AV / MARKET ST",-122.419257894814,37.7751462916539
"2010-08-25 18:00:00","WARRANTS","WARRANT ARREST","Wednesday","SOUTHERN","ARREST, BOOKED","MARKET ST / VANNESS AV",-122.419257894814,37.7751462916539
"2010-08-25 14:50:00","VANDALISM","MALICIOUS MISCHIEF, BREAKING WINDOWS","Wednesday","MISSION","NONE","3100 Block of 16TH ST",-122.423637302048,37.7648666651043
"2010-08-25 13:30:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","CENTRAL","NONE","LEAVENWORTH ST / FRANCISCO ST",-122.418343811443,37.8040696291271
"2010-08-25 13:26:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","TENDERLOIN","NONE","0 Block of TAYLOR ST",-122.410689907787,37.7824948907735
"2010-08-25 11:00:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM","Wednesday","CENTRAL","NONE","THE EMBARCADERONORTH ST / GREEN ST",-122.398861971113,37.8007809996037
"2010-08-25 08:40:00","VANDALISM","MALICIOUS MISCHIEF, VANDALISM OF VEHICLES","Wednesday","MISSION","NONE","100 Block of JULIAN AV",-122.420908468984,37.7657766621198
"2010-08-25 06:46:00","WARRANTS","ENROUTE TO DEPARTMENT OF CORRECTIONS","Wednesday","BAYVIEW","ARREST, BOOKED","MENDELL ST / HUDSON AV",-122.386400869953,37.738983491072
"2010-08-24 22:41:00","WARRANTS","WARRANT ARREST","Tuesday","MISSION","ARREST, BOOKED","500 Block of GUERRERO ST",-122.424036887526,37.7627513875316
"2010-08-24 22:40:00","PROSTITUTION","LOITERING FOR PURPOSE OF PROSTITUTION","Tuesday","CENTRAL","ARREST, CITED","CALIFORNIA ST / LARKIN ST",-122.41903911933,37.7907880214451
